topic,argument,tokenized_argument,label
immigration,"Some evidence would be helpful here. Without it, I do not believe that illegal immigrants are taking jobs that citizens would do. Anyone unemployed reading this that's willing to pick fruit in the hot sun for $5 an hour ? Please chime in.","Some evidence would be helpful here . Without it , I do not believe that illegal immigrants are taking jobs that citizens would do . Anyone unemployed reading this that 's willing to pick fruit in the hot sun for $ 5 an hour ? Please chime in .",1
young people,"Some of us don't buy into the Leave It To Beaver fantasy that people like this author think we should all just Stepford our way into. With jobs that pay a living wage unavailable and college debt financially crippling for a lifetime, most young people don't see any good options because our generation took all the money and ran.","Some of us do n't buy into the Leave It To Beaver fantasy that people like this author think we should all just Stepford our way into . With jobs that pay a living wage unavailable and college debt financially crippling for a lifetime , most young people do n't see any good options because our generation took all the money and ran .",1
farm subsidies,New Zealand eliminated farm subsidies years ago amidst much howling that the sky is falling from the ag industry. Now they sing a different tune as the NZ ag industry is world class and prospering from a large export component.,New Zealand eliminated farm subsidies years ago amidst much howling that the sky is falling from the ag industry . Now they sing a different tune as the NZ ag industry is world class and prospering from a large export component .,0
jerusalem,"Ostensibly, the reason that the US embassy wasn't moved to West Jerusalem is that the City of Jerusalem is a 'corpus seperatum', a separate body, neither Israel or Palestine. However, UN Security Council 2334, just proclaimed Palestine to be Gaza, the West Bank and East Jerusalem. Clearly, the UN has dropped the Corpus Separatem concept. If East Jerusalem is Palestine, then West Jerusalem is clearly Israel. Therefore, the latest UN Security Council resolution should be used as the justification for moving the embassy to West Jerusalem within the Green Line.","Ostensibly , the reason that the US embassy was n't moved to West Jerusalem is that the City of Jerusalem is a ' corpus seperatum ' , a separate body , neither Israel or Palestine . However , UN Security Council 2334 , just proclaimed Palestine to be Gaza , the West Bank and East Jerusalem . Clearly , the UN has dropped the Corpus Separatem concept . If East Jerusalem is Palestine , then West Jerusalem is clearly Israel . Therefore , the latest UN Security Council resolution should be used as the justification for moving the embassy to West Jerusalem within the Green Line .",1
vaccination,"""Vaccines protect our neighbors -- like following traffic laws, drug tests at work, paying taxes -- they are a shared responsibility."" When speaking about shared responsibility it's probably not a good idea to use paying taxes as an example since so many in our society aren't sharing in that responsibility.",""" Vaccines protect our neighbors -- like following traffic laws , drug tests at work , paying taxes -- they are a shared responsibility . "" When speaking about shared responsibility it 's probably not a good idea to use paying taxes as an example since so many in our society are n't sharing in that responsibility .",1
mother teresa,"""I will be honest, they learned very little about modern medicine in the Home for the Dying"" True, that part. Because modern medicine absolutely opposes letting people suffer pain when pain relief is available. What Mother Theresa was teaching was flagrantly medically unethical.",""" I will be honest , they learned very little about modern medicine in the Home for the Dying "" True , that part . Because modern medicine absolutely opposes letting people suffer pain when pain relief is available . What Mother Theresa was teaching was flagrantly medically unethical .",0
a problem,"59% of California's non elderly Medicaid recipients are Hispanic. Large portions of California, from the Mexican border, through LA, and up the spine of the state to Sacramento, have been overrun with illegal immigrants. As a group, they are poorly educated, low earning, and their families are on the full array of entitlements from birth. Some model.","59 % of California 's non elderly Medicaid recipients are Hispanic . Large portions of California , from the Mexican border , through LA , and up the spine of the state to Sacramento , have been overrun with illegal immigrants . As a group , they are poorly educated , low earning , and their families are on the full array of entitlements from birth . Some model .",0
motherhood,"The way I see it, it is better for people to have children later in life than sooner. From an evolutionary point of view, to be the child of parents that were in their 40s when they had you means that (a) both your parents survived until their 40s and (b) they were fertile too in their 40s. So, genetically, the offspring's chances to atteign - at least - that age and be also able to reproduce at that age are increased. Give it a couple of centuries of that policy and it could rise humanity's (at least in the western world) life expectancy by raising, among others, our reproductive expectancy.","The way I see it , it is better for people to have children later in life than sooner . From an evolutionary point of view , to be the child of parents that were in their 40s when they had you means that ( a ) both your parents survived until their 40s and ( b ) they were fertile too in their 40s . So , genetically , the offspring 's chances to atteign - at least - that age and be also able to reproduce at that age are increased . Give it a couple of centuries of that policy and it could rise humanity 's ( at least in the western world ) life expectancy by raising , among others , our reproductive expectancy .",1
farms,"Evidently the increase in agricultural workers salaries would eat into the growers profits. The opposition of the Farm lobby is indicative of that. Also, where would the replacement workers come from? Maybe some of the readers posting comments in favor of E verify would like to volunteer. And don't forget all the other sectors of the economy where immigrant labor is used. Yes, you can probably attract American workers with Google pay/benefit packages, but the Growers would go out of business due to the costs. And then, when the economy picked up, those workers would immediately move back to the city and we would be back to square one.","Evidently the increase in agricultural workers salaries would eat into the growers profits . The opposition of the Farm lobby is indicative of that . Also , where would the replacement workers come from ? Maybe some of the readers posting comments in favor of E verify would like to volunteer . And do n't forget all the other sectors of the economy where immigrant labor is used . Yes , you can probably attract American workers with Google pay / benefit packages , but the Growers would go out of business due to the costs . And then , when the economy picked up , those workers would immediately move back to the city and we would be back to square one .",1
medical websites,I just finished seeing a patient after her second attack of pancreatitis over two years. Her most recent attack was uncomplicated and an ultrasound showed a 1.8cm gallstone and multiple small gallstones only in the gallbladder. The bile ducts had no stones and there was not ultrasound abnormality of the pancreas. She had done her internet research and was adamantly convinced that she should never have her gallbladder removed. She somehow learned from the internet that the gallbladder provides necessary vitamins and nutrients and it should not be removed. I am not a gallbladder surgeon and I explained to her how the stones in the gallbladder were the cause of her pancreatitis and the treatment and prevention of more attacks is to electively remove the gallbladder surgically. I explained that drug or diet treatment to dissolve her stones is not usually successful and that there is no absolute need to keep her gallbladder for nutritional reasons. She immediately became defensive and clung even more to her miss-information. I also use the internet to diagnose things. But I stick to ordering replacement parts and fixing household objects.,I just finished seeing a patient after her second attack of pancreatitis over two years . Her most recent attack was uncomplicated and an ultrasound showed a 1.8 cm gallstone and multiple small gallstones only in the gallbladder . The bile ducts had no stones and there was not ultrasound abnormality of the pancreas . She had done her internet research and was adamantly convinced that she should never have her gallbladder removed . She somehow learned from the internet that the gallbladder provides necessary vitamins and nutrients and it should not be removed . I am not a gallbladder surgeon and I explained to her how the stones in the gallbladder were the cause of her pancreatitis and the treatment and prevention of more attacks is to electively remove the gallbladder surgically . I explained that drug or diet treatment to dissolve her stones is not usually successful and that there is no absolute need to keep her gallbladder for nutritional reasons . She immediately became defensive and clung even more to her miss - information . I also use the internet to diagnose things . But I stick to ordering replacement parts and fixing household objects .,0
social media,"I am a 20-year-old female college student who does not own a smart phone and does not wish to own one. I feel as though I am one of the few left of my age (and in general) who have not been sucked into the smartphone (mostly iphone) world. It can be very frustrating for me when my friends are constantly glued to their devices. I often find myself in social situations where everyone in the room are on their phones and I am left sitting, waiting for someone to come back into the real world in order to have a conversation or to decide on something to do other than stare at a screen. In this sense I agree that smartphones/facebook can be potentially damaging to relationships or at least to proper social conduct.","I am a 20-year - old female college student who does not own a smart phone and does not wish to own one . I feel as though I am one of the few left of my age ( and in general ) who have not been sucked into the smartphone ( mostly iphone ) world . It can be very frustrating for me when my friends are constantly glued to their devices . I often find myself in social situations where everyone in the room are on their phones and I am left sitting , waiting for someone to come back into the real world in order to have a conversation or to decide on something to do other than stare at a screen . In this sense I agree that smartphones / facebook can be potentially damaging to relationships or at least to proper social conduct .",0
opioid training,Patients should also have to undergo mandatory training. I have used opioids for 12 years and I have not increased that amount in all that time because I studied up on pain medication and addiction. Not one doctor over that time told me one thing that I learned in my own. I know more than most doctors. Doctors are passing out pills they don't understand and their patients have even a less understanding how to use them. No wonder why there is a big problem.,Patients should also have to undergo mandatory training . I have used opioids for 12 years and I have not increased that amount in all that time because I studied up on pain medication and addiction . Not one doctor over that time told me one thing that I learned in my own . I know more than most doctors . Doctors are passing out pills they do n't understand and their patients have even a less understanding how to use them . No wonder why there is a big problem .,1
a gamble,"Most conservative economists blithely ignore two central economic facts: negative externalities generated by any given economic activity and opportunity costs. Mr. Cotti gives at least passing notice to the former, but shows no awareness of the latter. How many good, permanent jobs with career ladders could be created by investing in, say, a medical complex, a nursing home, a high-tech construction firm, or a solar panel manufacturing plant? Why not provide incentives to businesses that satisfy basic human needs rather than those that pander to humankind's worst instincts?","Most conservative economists blithely ignore two central economic facts : negative externalities generated by any given economic activity and opportunity costs . Mr. Cotti gives at least passing notice to the former , but shows no awareness of the latter . How many good , permanent jobs with career ladders could be created by investing in , say , a medical complex , a nursing home , a high - tech construction firm , or a solar panel manufacturing plant ? Why not provide incentives to businesses that satisfy basic human needs rather than those that pander to humankind 's worst instincts ?",0
mother teresa,"Certainly, why not? Saints and angels and fairies and Santa Claus and Easter bunnies and Superman and Batman are all myths, so what difference does it make if the church of Rome wants to call this person a saint? And, on the plus side, it would add to the collection of gods to which devout Catholics devote their feel-good prayers.","Certainly , why not ? Saints and angels and fairies and Santa Claus and Easter bunnies and Superman and Batman are all myths , so what difference does it make if the church of Rome wants to call this person a saint ? And , on the plus side , it would add to the collection of gods to which devout Catholics devote their feel - good prayers .",0
school librarians,Is anyone else appalled that we are even debating cutting out school librarians? How about we cut out the chalk and dry erase markers and why are we bothering with teaching reading when we can get digital text to voice anyway? And have you even tried to read some of the crud these kids write? We obviously are not teaching writing so why should we screw up the budget by trying to start now. Isn't it enough the schools are keeping these hooligans off the street a few hours each day and keeping them from trying to get work cause if they did those unemployment figures would look even worse. Can't have that happen or the incumbents may not get re-elected and that is the top priority for both parties.,Is anyone else appalled that we are even debating cutting out school librarians ? How about we cut out the chalk and dry erase markers and why are we bothering with teaching reading when we can get digital text to voice anyway ? And have you even tried to read some of the crud these kids write ? We obviously are not teaching writing so why should we screw up the budget by trying to start now . Is n't it enough the schools are keeping these hooligans off the street a few hours each day and keeping them from trying to get work cause if they did those unemployment figures would look even worse . Ca n't have that happen or the incumbents may not get re - elected and that is the top priority for both parties .,1
income,"It's encouraging to read about these programs. And it's especially good to hear that along with low-income students, financial aid and other support is being given to first-generation college students. It's impossible to exaggerate the difficulties many students from these backgrounds face.","It 's encouraging to read about these programs . And it 's especially good to hear that along with low - income students , financial aid and other support is being given to first - generation college students . It 's impossible to exaggerate the difficulties many students from these backgrounds face .",1
a celebrity,"As another commentator mentioned, the widespread use of cell phone cameras and convenient connectivity of the Internet make it easy to catch and publicize celebrities living their lives. In the old days, photography required a large bulky camera, a big flash gun, and time to set up the camera. Today's cell phones take a reasonable-quality photo instantly. Actors and sports figures are not public policy makers. As opposed to public government officials (elected or appointed), celebrities do not decide how much taxes we pay, what laws we must observe, or whether we go to war. As such, they should be give more privacy. In other words, it may be in the public interest to publicize a congressman patronizing a brothel, especially when that congressman takes a high moralistic political position. When an actor or sports figure (or a retired out-of-office politician for that matter) does such a thing, it doesn't affect the rest of us and isn't really a matter of the public interest. Of course, some celebrities like the publicity and generate it themselves. They feel compelled to announce (and the media feels compelled to publish) when they start a new relationship or terminate one.","As another commentator mentioned , the widespread use of cell phone cameras and convenient connectivity of the Internet make it easy to catch and publicize celebrities living their lives . In the old days , photography required a large bulky camera , a big flash gun , and time to set up the camera . Today 's cell phones take a reasonable - quality photo instantly . Actors and sports figures are not public policy makers . As opposed to public government officials ( elected or appointed ) , celebrities do not decide how much taxes we pay , what laws we must observe , or whether we go to war . As such , they should be give more privacy . In other words , it may be in the public interest to publicize a congressman patronizing a brothel , especially when that congressman takes a high moralistic political position . When an actor or sports figure ( or a retired out - of - office politician for that matter ) does such a thing , it does n't affect the rest of us and is n't really a matter of the public interest . Of course , some celebrities like the publicity and generate it themselves . They feel compelled to announce ( and the media feels compelled to publish ) when they start a new relationship or terminate one .",1
