topic,argument,label,tokenized_argument,new_id
mandatory in college,"I have a Ph.D. in Chemical Engineering. According to other comments on this article, I have no use for a foreign language - yet I'm fluent in two and can get by in two more. It's enabled me to work easily with multinational contractors, to better understand supply chains and logistics in Europe because I had to LISTEN more closely when it wasn't presented in English, to be perceived as a good representative of the US - not as someone who insists on English only and someone who pretends that speaking English LOUDER suddenly makes it comprehensible to non-English speakers. Even if a person never achieves fluency, the ability to try to reach across the language gap is invauable as a life skill. I use it quite by accident/coincidence every time I visit New York.",1,"I have a Ph.D. in Chemical Engineering . According to other comments on this article , I have no use for a foreign language - yet I 'm fluent in two and can get by in two more . It 's enabled me to work easily with multinational contractors , to better understand supply chains and logistics in Europe because I had to LISTEN more closely when it was n't presented in English , to be perceived as a good representative of the US - not as someone who insists on English only and someone who pretends that speaking English LOUDER suddenly makes it comprehensible to non - English speakers . Even if a person never achieves fluency , the ability to try to reach across the language gap is invauable as a life skill . I use it quite by accident / coincidence every time I visit New York .",11264
the u.s.,Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified. Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections. Daily life in peace under ISIS is fundamentally more troublesome. The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict. We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group. In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition. Until now the US has sabotaged such negotiations and supported those rebels who don't want to compromise. But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible.,0,Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified . Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections . Daily life in peace under ISIS is fundamentally more troublesome . The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict . We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group . In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition . Until now the US has sabotaged such negotiations and supported those rebels who do n't want to compromise . But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible .,11354
prostituion,"We've seen how a wild west approach with no laws works - abused children and adults get exploited. At least with a legal system there are some checks and balances to protect the workers, satisfy demand, and ensure a safe work environment for adults. With a legal path, there's an incentive to play by the rules. Those who continue to operate outside of the laws - the traffickers and child abusers - have less cover from the laws and those who enforce them.",0,"We 've seen how a wild west approach with no laws works - abused children and adults get exploited . At least with a legal system there are some checks and balances to protect the workers , satisfy demand , and ensure a safe work environment for adults . With a legal path , there 's an incentive to play by the rules . Those who continue to operate outside of the laws - the traffickers and child abusers - have less cover from the laws and those who enforce them .",11417
overcrowding,"Necessity is the mother of all invention. Never bet against human ingenuity, especially when survival is on the line. The technology we need to move beyond fossil fuels exist today - wind, solar, efficiency improvements like LED lighting, and especially nuclear power. I can't imagine what technology we will have in 50 years - carbon sequestration, fusion reactors, space elevators, orbital solar platforms - there is no point even guessing, but I am very sure technology continues to outpace population growth, and we continue to solve problems faster than we create them. We might be slow on global warming, but science and engineering are key to survival. As Issac Asimov said, ""I chose solution, I chose technology""",0,"Necessity is the mother of all invention . Never bet against human ingenuity , especially when survival is on the line . The technology we need to move beyond fossil fuels exist today - wind , solar , efficiency improvements like LED lighting , and especially nuclear power . I ca n't imagine what technology we will have in 50 years - carbon sequestration , fusion reactors , space elevators , orbital solar platforms - there is no point even guessing , but I am very sure technology continues to outpace population growth , and we continue to solve problems faster than we create them . We might be slow on global warming , but science and engineering are key to survival . As Issac Asimov said , "" I chose solution , I chose technology """,11427
mandatory for all children,"People should not be able to impose their religious beliefs on others when it would harm or endanger others. Parents should not be able to deprive their children of medical care, like vaccinations, and employers should not be able to deny their employees of medical care, like contraception.",1,"People should not be able to impose their religious beliefs on others when it would harm or endanger others . Parents should not be able to deprive their children of medical care , like vaccinations , and employers should not be able to deny their employees of medical care , like contraception .",11467
high-speed rail,"If we calculate how much money went to the war in Iraq and Afghanistan, I think that this project is pocket change. While Europe and Asia built their infrastructure the US invested in arms and wars. While other enjoy the benefits of fast and clean transportation, we are still debating if we should go forward or stay in the stone age for a little bit longer. Oh the irony...",1,"If we calculate how much money went to the war in Iraq and Afghanistan , I think that this project is pocket change . While Europe and Asia built their infrastructure the US invested in arms and wars . While other enjoy the benefits of fast and clean transportation , we are still debating if we should go forward or stay in the stone age for a little bit longer . Oh the irony ...",11483
extreme parenting,"Unconditional love combined with the parent fondly expecting the child to be the best he can be. As the child grows older, he needs to separate from his parents and this should be respected. But the parent is always there if the child needs advice. To sum up this approach: Positive Reinforcement",0,"Unconditional love combined with the parent fondly expecting the child to be the best he can be . As the child grows older , he needs to separate from his parents and this should be respected . But the parent is always there if the child needs advice . To sum up this approach : Positive Reinforcement",11487
speech,"The Government has no business controlling its workers' free speech on religoius matters during off-hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable. This is easily demonstrable -- as follows: A person is an adherent to a new religion. This religion believes that the holy books of three large monotheistic religions, Judaism, Christianity and Islam, have been corrupted, have errors and therefore must be cleansed. The required cleansing is done by fire. Each Sabbath, adherents must burn one page of each of the holy books for these faiths. It is a bona-fide belief helf by adherents to this faith. If the government prevents them from conducting their cleansing ceremony because others are offended, then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices.",1,"The Government has no business controlling its workers ' free speech on religoius matters during off - hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable . This is easily demonstrable -- as follows : A person is an adherent to a new religion . This religion believes that the holy books of three large monotheistic religions , Judaism , Christianity and Islam , have been corrupted , have errors and therefore must be cleansed . The required cleansing is done by fire . Each Sabbath , adherents must burn one page of each of the holy books for these faiths . It is a bona - fide belief helf by adherents to this faith . If the government prevents them from conducting their cleansing ceremony because others are offended , then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices .",11622
illegal labor,"Aren't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school? The ones that accept huge subsidies from the federal government? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time. Many small farmers are succeeding with high quality locally raised crops. Here in central Massachusetts, where growing is a real challenge, the small farms are doing very well. Locally raised produce that doesn't need to be transported and stored at tremendous cost is inherently cheaper and better. In the past many solutions to the problem have been proposed, including permits to work temporarily in the US. All defeated. I think some people just like cheap labor and no accountability. Not to worry, though, the migrants are no longer flowing to the US and there are millions of unemployed Americans, so it will work itself out to the benefit of the farmers if we just keep destroying the economy.",0,"Are n't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school ? The ones that accept huge subsidies from the federal government ? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time . Many small farmers are succeeding with high quality locally raised crops . Here in central Massachusetts , where growing is a real challenge , the small farms are doing very well . Locally raised produce that does n't need to be transported and stored at tremendous cost is inherently cheaper and better . In the past many solutions to the problem have been proposed , including permits to work temporarily in the US . All defeated . I think some people just like cheap labor and no accountability . Not to worry , though , the migrants are no longer flowing to the US and there are millions of unemployed Americans , so it will work itself out to the benefit of the farmers if we just keep destroying the economy .",11672
teach for america,"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?",0,"I wonder how having one or two Teach for America teachers at a school can make a difference . A few children , lucky to be in those classes , may benefit but how does it benefit the school as a whole ? And what does it do for the morale of the regular teaching staff , many of whom may be wonderful , dedicated teachers to have these neophytes who come with a label of special , gifted drop into their schools as though manna from heaven ? Finally , do these special , gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least , if not more , to do with the condition of their schools and their academic achievement than does the ability of the teacher ? Can they magically help the parent who does n't have the education to help or encourage the child ? Can they promise these kids that if they work hard and do well , they will have a better life ?",11676
rich politicans,"The truth is there have been excellent wealthy politicians - Washington, FDR, Kenedy and excellent politicians of modest means Lincoln, Truman and Eisenhpower certainly come to mind. I am not at all sure that the wealthy are any more or less likely to be corrupt. Consider the titans of Wall Street. There's more money there than any politician is ever likely to have andd yet I see no reduced desire for more. Do you?",1,"The truth is there have been excellent wealthy politicians - Washington , FDR , Kenedy and excellent politicians of modest means Lincoln , Truman and Eisenhpower certainly come to mind . I am not at all sure that the wealthy are any more or less likely to be corrupt . Consider the titans of Wall Street . There 's more money there than any politician is ever likely to have andd yet I see no reduced desire for more . Do you ?",11712
wal-mart,"I wish Walmart well in this endeavor, though I've had problems with some of its past actions. As for all those people who say it can't be done, that the profit won't be there for small markets: Have any of you ever been to Chinatown? Not San Francisco Chinatown, not New York Chinatown, just any Chinatown. You'll find the cheapest groceries in town there--it might not be top AAA quality, and maybe you won't find those exotic tomatoes, but it'll be inexpensive and fresh. The grocers there figured out the beauty of volume sales a long time ago. So did Walmart with its household goods, and now it's extending it to groceries. Good for them.",1,"I wish Walmart well in this endeavor , though I 've had problems with some of its past actions . As for all those people who say it ca n't be done , that the profit wo n't be there for small markets : Have any of you ever been to Chinatown ? Not San Francisco Chinatown , not New York Chinatown , just any Chinatown . You 'll find the cheapest groceries in town there -- it might not be top AAA quality , and maybe you wo n't find those exotic tomatoes , but it 'll be inexpensive and fresh . The grocers there figured out the beauty of volume sales a long time ago . So did Walmart with its household goods , and now it 's extending it to groceries . Good for them .",11730
tax breaks,"Unless and until we decide to acknowledge the symbiotic false pretenses underlying our effective subsidy of for-profit institutions of higher learning and redirect those resources back to public education in all its forms (under funded primary and secondary schools, public land-grant universities), we will only expand the gap between educational and economic have and have nots.",0,"Unless and until we decide to acknowledge the symbiotic false pretenses underlying our effective subsidy of for - profit institutions of higher learning and redirect those resources back to public education in all its forms ( under funded primary and secondary schools , public land - grant universities ) , we will only expand the gap between educational and economic have and have nots .",11739
drilling,"Now would be a good time to begin instituting a serious conservation program to obviate the need for whatever oil might be found off shore in the Atlantic. What's so good about more oil? It is polluting the planet to a dangerous degree, we lust for it to the extent of going to war for it. Our modern civilization runs on machines that run on it. But there are realistic alternatives that can be developed. Going after more oil instead merely perpetuates a sunk cost fallacy that says we are in too deep to try something else and further enriches a few corporations at the expense of our shared planet. The earth is a finite place and everything in it is of limited quantity. Sooner than you think we will have no choice but to explore other options. Why wait until there is a crisis?",0,"Now would be a good time to begin instituting a serious conservation program to obviate the need for whatever oil might be found off shore in the Atlantic . What 's so good about more oil ? It is polluting the planet to a dangerous degree , we lust for it to the extent of going to war for it . Our modern civilization runs on machines that run on it . But there are realistic alternatives that can be developed . Going after more oil instead merely perpetuates a sunk cost fallacy that says we are in too deep to try something else and further enriches a few corporations at the expense of our shared planet . The earth is a finite place and everything in it is of limited quantity . Sooner than you think we will have no choice but to explore other options . Why wait until there is a crisis ?",11771
a modern family,"Marriage of William and Kate will work out because of the mother-in-law to be Camilla, who came into the royal family as a divorcee and middle aged. Camilla will have a sensitive feel to their situation and will be the strong defensive wall when pressures will be built up by the royal household on young Kate. Diana's marriage failed since it was a loveless marriage, given Charles' interest elsewhere. Kate and William go into the marriage deeply in love with each other.",1,"Marriage of William and Kate will work out because of the mother - in - law to be Camilla , who came into the royal family as a divorcee and middle aged . Camilla will have a sensitive feel to their situation and will be the strong defensive wall when pressures will be built up by the royal household on young Kate . Diana 's marriage failed since it was a loveless marriage , given Charles ' interest elsewhere . Kate and William go into the marriage deeply in love with each other .",11806
illegal labor,"It's nice to know that farmers following the law would have positive economic effects but more importantly, they are breaking the law and conspiring to break the law for their benefit and the detriment of the american worker. Let's focus on puting these crooked farmers in jail and on deporting the illegals. Both hurt the american worker.",0,"It 's nice to know that farmers following the law would have positive economic effects but more importantly , they are breaking the law and conspiring to break the law for their benefit and the detriment of the american worker . Let 's focus on puting these crooked farmers in jail and on deporting the illegals . Both hurt the american worker .",11811
illegal labor,"Finally, someone who wants to succeed within the context of our laws. We also need to look at perverse incentives, like unemployment benefits not tied to taking farming jobs. Keep up the good work, Mr. Shute. Hopefully, you will have less competition when your competitors who use illegal labor are put in jail.",0,"Finally , someone who wants to succeed within the context of our laws . We also need to look at perverse incentives , like unemployment benefits not tied to taking farming jobs . Keep up the good work , Mr. Shute . Hopefully , you will have less competition when your competitors who use illegal labor are put in jail .",11881
overcrowding,"The technology we have today isn't a product of our population. Think how well we could be living now if we hadn't deforested our lands, polluted our waters, degraded our soils and overtaxed our aquifers and rivers. Would the middle east seem so intractable a problem if there was still plenty of water and arable land available; if the population of the region was just a fraction of what it is today? Think of the vast advances civilization made in the first and second millenniums with less than a billion people living on this planet. If birth control had been practiced earlier in our history would we be any less advanced a civilization?",0,"The technology we have today is n't a product of our population . Think how well we could be living now if we had n't deforested our lands , polluted our waters , degraded our soils and overtaxed our aquifers and rivers . Would the middle east seem so intractable a problem if there was still plenty of water and arable land available ; if the population of the region was just a fraction of what it is today ? Think of the vast advances civilization made in the first and second millenniums with less than a billion people living on this planet . If birth control had been practiced earlier in our history would we be any less advanced a civilization ?",11889
electric cars,"I wish people be positive about innovating solutions like these for cars. We have to start somewhere! This invention might have it's flaws but so did the first car and the first airplane and so on. We have to give inventions of this matter a chance, so we can survive the scary thought of contaminating the atmosphere of our lovely planet. I love breathing, but I also love breathing clean wonderful fresh air. Don't you?",1,"I wish people be positive about innovating solutions like these for cars . We have to start somewhere ! This invention might have it 's flaws but so did the first car and the first airplane and so on . We have to give inventions of this matter a chance , so we can survive the scary thought of contaminating the atmosphere of our lovely planet . I love breathing , but I also love breathing clean wonderful fresh air . Do n't you ?",11941
speech,"The premise of the debate is wrong. The Koran burner has every right (as did the Florida preacher) to burn the Koran. His employer has every right to fire him - Koran burning or no. This is America, let's keep it that way!",1,"The premise of the debate is wrong . The Koran burner has every right ( as did the Florida preacher ) to burn the Koran . His employer has every right to fire him - Koran burning or no . This is America , let 's keep it that way !",11951
high school teams,"It amazes me that what is best for children seems not to be part of this discussion. Why wouldn't we want as many children as possible to be able to participate in high school athletics? We all know the benefits of sports for kids, why would we want to deny home-schooled kids these same benefits just because they are doing their academic work outside of the classroom?",1,"It amazes me that what is best for children seems not to be part of this discussion . Why would n't we want as many children as possible to be able to participate in high school athletics ? We all know the benefits of sports for kids , why would we want to deny home - schooled kids these same benefits just because they are doing their academic work outside of the classroom ?",12023
farms,"Aren't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school? The ones that accept huge subsidies from the federal government? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time. Many small farmers are succeeding with high quality locally raised crops. Here in central Massachusetts, where growing is a real challenge, the small farms are doing very well. Locally raised produce that doesn't need to be transported and stored at tremendous cost is inherently cheaper and better. In the past many solutions to the problem have been proposed, including permits to work temporarily in the US. All defeated. I think some people just like cheap labor and no accountability. Not to worry, though, the migrants are no longer flowing to the US and there are millions of unemployed Americans, so it will work itself out to the benefit of the farmers if we just keep destroying the economy.",0,"Are n't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school ? The ones that accept huge subsidies from the federal government ? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time . Many small farmers are succeeding with high quality locally raised crops . Here in central Massachusetts , where growing is a real challenge , the small farms are doing very well . Locally raised produce that does n't need to be transported and stored at tremendous cost is inherently cheaper and better . In the past many solutions to the problem have been proposed , including permits to work temporarily in the US . All defeated . I think some people just like cheap labor and no accountability . Not to worry , though , the migrants are no longer flowing to the US and there are millions of unemployed Americans , so it will work itself out to the benefit of the farmers if we just keep destroying the economy .",12033
israel,The Israeli drumbeat of aggression against Iran is lunacy and the US would be insane to support them in that regard. All sides have said that sanctions are effective and Iran is no closer to going nuclear than Iraq was--that was the biggest fumble in US history. Netanayu had no intention of listening to any US suggestions that settlements were contrary to peace and it would be a waste of time to try to get him to back down.,0,The Israeli drumbeat of aggression against Iran is lunacy and the US would be insane to support them in that regard . All sides have said that sanctions are effective and Iran is no closer to going nuclear than Iraq was -- that was the biggest fumble in US history . Netanayu had no intention of listening to any US suggestions that settlements were contrary to peace and it would be a waste of time to try to get him to back down .,12087
motherhood,"I have been successful at both obtaining tenure, academic prestige and children (late, admittedly). The advice I might offer aspiring young women is to find a younger man who is not particularly ambitious or career-focused and who loves kids and homelife. If you find such a man you can reap the same career benefits as your male colleagues who might marry a marriage-minded younger woman. If you want to be successful it is best to pass over the highly decorated, high maintenance males, unless you have decided that kids are not wanted. I also think success and power are attractive to both men and women and that a high status female can find younger partners relatively easily.",1,"I have been successful at both obtaining tenure , academic prestige and children ( late , admittedly ) . The advice I might offer aspiring young women is to find a younger man who is not particularly ambitious or career - focused and who loves kids and homelife . If you find such a man you can reap the same career benefits as your male colleagues who might marry a marriage - minded younger woman . If you want to be successful it is best to pass over the highly decorated , high maintenance males , unless you have decided that kids are not wanted . I also think success and power are attractive to both men and women and that a high status female can find younger partners relatively easily .",12097
home-schoolers,"It amazes me that what is best for children seems not to be part of this discussion. Why wouldn't we want as many children as possible to be able to participate in high school athletics? We all know the benefits of sports for kids, why would we want to deny home-schooled kids these same benefits just because they are doing their academic work outside of the classroom?",1,"It amazes me that what is best for children seems not to be part of this discussion . Why would n't we want as many children as possible to be able to participate in high school athletics ? We all know the benefits of sports for kids , why would we want to deny home - schooled kids these same benefits just because they are doing their academic work outside of the classroom ?",12149
capital gains,"I have never understood the concept of the tax advantaged capital gain. Some say the gain has already been taxed when the income ws earned to make the investment. By that standard, only ordinary w-2 income should be taxed at standard marginal rates. A person who purchases 100 shares of XYZ for $50.00 a share and sells it to another investor for $100.00 a share makes $50.00 a share. Not one penny goes to XYZ company to, say, purchase equipment or even better, hire another employee (unless of course it's an IPO). It seems to be just another tax advantage written into law by millionaires for the benefit of the wealthy investment class. Tell me that people would not invest in capital markets if there was no tax advantage and I would laugh. It would be like suggesting that people would not work as plumbers or accountants if they did not get a tax break of 50%",0,"I have never understood the concept of the tax advantaged capital gain . Some say the gain has already been taxed when the income ws earned to make the investment . By that standard , only ordinary w-2 income should be taxed at standard marginal rates . A person who purchases 100 shares of XYZ for $ 50.00 a share and sells it to another investor for $ 100.00 a share makes $ 50.00 a share . Not one penny goes to XYZ company to , say , purchase equipment or even better , hire another employee ( unless of course it 's an IPO ) . It seems to be just another tax advantage written into law by millionaires for the benefit of the wealthy investment class . Tell me that people would not invest in capital markets if there was no tax advantage and I would laugh . It would be like suggesting that people would not work as plumbers or accountants if they did not get a tax break of 50 %",12162
the u.s.,"ISIS kills helpless minority ""pagan"" Yazidis and ""deviant"" Shias. It ethnically cleanse Christian minorities, it uses Yazidi women as sex slaves, it advocates genital mutilation of women, it kills innocent civilian hostages, it attracts starry eyed Muslim radicals from all over the world to join the new ""Caliphate"". It is a anti-civilization evil force that thrives in nihilism and wanton destruction. ISIS is Al Qaeda on steroids. Today it may not yet be an immediate danger to the US but it would be tomorrow once it consolidates its grip on the ""liberated"" region, its ""Jihad"" veterans would return home in the western countries like the UK, France etc and spread the mayhem there, it would plot from its ""Caliphate"" to repeat many more 9/11 until the ""western world is brought under the Caliphate"". It may or may not succeed in that ultimate goal but its methods would surely result in deaths and destruction all over the world including the west. Question is does the civilized world want to nip it in the bud now or let it fester like the Al Qaeda before it is too late to prevent major acts of terror?",1,"ISIS kills helpless minority "" pagan "" Yazidis and "" deviant "" Shias . It ethnically cleanse Christian minorities , it uses Yazidi women as sex slaves , it advocates genital mutilation of women , it kills innocent civilian hostages , it attracts starry eyed Muslim radicals from all over the world to join the new "" Caliphate "" . It is a anti - civilization evil force that thrives in nihilism and wanton destruction . ISIS is Al Qaeda on steroids . Today it may not yet be an immediate danger to the US but it would be tomorrow once it consolidates its grip on the "" liberated "" region , its "" Jihad "" veterans would return home in the western countries like the UK , France etc and spread the mayhem there , it would plot from its "" Caliphate "" to repeat many more 9/11 until the "" western world is brought under the Caliphate "" . It may or may not succeed in that ultimate goal but its methods would surely result in deaths and destruction all over the world including the west . Question is does the civilized world want to nip it in the bud now or let it fester like the Al Qaeda before it is too late to prevent major acts of terror ?",12203
companies,"No they should not be able to patent a human gene. They didn't create it. The gene has been there all along. Certainly the company owns the testing mechanism they develop. If someone developed a technique to alter genes so they are not destructive to us, that method is theirs to patent. But the ownership of the gene belongs to the people who carry them.",0,"No they should not be able to patent a human gene . They did n't create it . The gene has been there all along . Certainly the company owns the testing mechanism they develop . If someone developed a technique to alter genes so they are not destructive to us , that method is theirs to patent . But the ownership of the gene belongs to the people who carry them .",12270
vaccination,"People should not be able to impose their religious beliefs on others when it would harm or endanger others. Parents should not be able to deprive their children of medical care, like vaccinations, and employers should not be able to deny their employees of medical care, like contraception.",1,"People should not be able to impose their religious beliefs on others when it would harm or endanger others . Parents should not be able to deprive their children of medical care , like vaccinations , and employers should not be able to deny their employees of medical care , like contraception .",12333
workplace,"Why should it be our job to help out the owners of the restaurants and bars? I mean isn't that what we are being asked to do? If they were paid a living wage, yes, food and drinks I guess would be more expensive. I think if we all tipped less it would put pressure on the owners to share the wealth.",0,"Why should it be our job to help out the owners of the restaurants and bars ? I mean is n't that what we are being asked to do ? If they were paid a living wage , yes , food and drinks I guess would be more expensive . I think if we all tipped less it would put pressure on the owners to share the wealth .",12373
electric cars,"I drove the Leaf last week. It's a super little car that will be launch electric travel for the masses. For those who claim it will run up electric prices by burning more oil, they just don't realize that coal burning electric plants never shut down. One can't save electricity. You don't turn the plant off at night just because demand is low. That's why charging cars at night makes so much sense. Secondly, if you have solar in your home, you're already providing the grid with additional clean power. I hope that green technology will go hand-in-hand with the Leaf and other electric vehicles. And lastly, the average person drives less than one hundred miles a day. This giant fear of getting stuck is just that -- fear. It's amazing how fear stops progress. Be bold people. Let's get off oil and free our politics by making it a little easier to make peace.",1,"I drove the Leaf last week . It 's a super little car that will be launch electric travel for the masses . For those who claim it will run up electric prices by burning more oil , they just do n't realize that coal burning electric plants never shut down . One ca n't save electricity . You do n't turn the plant off at night just because demand is low . That 's why charging cars at night makes so much sense . Secondly , if you have solar in your home , you 're already providing the grid with additional clean power . I hope that green technology will go hand - in - hand with the Leaf and other electric vehicles . And lastly , the average person drives less than one hundred miles a day . This giant fear of getting stuck is just that -- fear . It 's amazing how fear stops progress . Be bold people . Let 's get off oil and free our politics by making it a little easier to make peace .",12471
a tax break,"As others have stated, I want my taxes lowered because I don't have children and don't use the public school system (among other public services) because of it. In fact I believe I should get a tax break on my income for NOT costing the government extra by having children. Why do parents who choose to have children believe they deserve to pay LESS than I do in taxes just because they choose to breed. It is not as if they didn't know that children cost money to have and raise! Yet because they get a tax break for having them and I don't I am forced to help pay for them! If you want kids and choose to have them then YOU pay for them and don't expect to get your taxes reduced because of it!",1,"As others have stated , I want my taxes lowered because I do n't have children and do n't use the public school system ( among other public services ) because of it . In fact I believe I should get a tax break on my income for NOT costing the government extra by having children . Why do parents who choose to have children believe they deserve to pay LESS than I do in taxes just because they choose to breed . It is not as if they did n't know that children cost money to have and raise ! Yet because they get a tax break for having them and I do n't I am forced to help pay for them ! If you want kids and choose to have them then YOU pay for them and do n't expect to get your taxes reduced because of it !",12522
noncompete deals,"Businesses have a box full of tools, and significant economic power, to protect against those who would sell trade secrets and otherwise damage their competitive edge unfairly. Those include long-standing legal protections like trademarks, copyrights, and patents. California is in the right here in barring non-compete clauses, and businesses who collude (as those in Silicon Valley appear to have done) should face substantial sanctions for their practice of restraint of trade.",0,"Businesses have a box full of tools , and significant economic power , to protect against those who would sell trade secrets and otherwise damage their competitive edge unfairly . Those include long - standing legal protections like trademarks , copyrights , and patents . California is in the right here in barring non - compete clauses , and businesses who collude ( as those in Silicon Valley appear to have done ) should face substantial sanctions for their practice of restraint of trade .",12528
home schoolers,"As others have stated, I want my taxes lowered because I don't have children and don't use the public school system (among other public services) because of it. In fact I believe I should get a tax break on my income for NOT costing the government extra by having children. Why do parents who choose to have children believe they deserve to pay LESS than I do in taxes just because they choose to breed. It is not as if they didn't know that children cost money to have and raise! Yet because they get a tax break for having them and I don't I am forced to help pay for them! If you want kids and choose to have them then YOU pay for them and don't expect to get your taxes reduced because of it!",0,"As others have stated , I want my taxes lowered because I do n't have children and do n't use the public school system ( among other public services ) because of it . In fact I believe I should get a tax break on my income for NOT costing the government extra by having children . Why do parents who choose to have children believe they deserve to pay LESS than I do in taxes just because they choose to breed . It is not as if they did n't know that children cost money to have and raise ! Yet because they get a tax break for having them and I do n't I am forced to help pay for them ! If you want kids and choose to have them then YOU pay for them and do n't expect to get your taxes reduced because of it !",12582
helping condo developers,"""Room for Debate asks: Have tax breaks, zoning and other policies that have fueled condo development unfairly benefited the wealthy at the expense of other residents?"" Really? This is actually a question? Um, YES! You should be asking what can be done to fix it, rather than whether or not it's happening.",0,""" Room for Debate asks : Have tax breaks , zoning and other policies that have fueled condo development unfairly benefited the wealthy at the expense of other residents ? "" Really ? This is actually a question ? Um , YES ! You should be asking what can be done to fix it , rather than whether or not it 's happening .",12593
oversight of internet addresses,"I think we would be kidding ourselves if we tried to prevent the transition to a multi stakeholder system for Icann. If we try to stop the proposal, the rest of the world will create an alternative domain name management system.",0,"I think we would be kidding ourselves if we tried to prevent the transition to a multi stakeholder system for Icann . If we try to stop the proposal , the rest of the world will create an alternative domain name management system .",12685
dual citizenship,"As a dual citizen of The United States and Bulgaria,i strongly feel that it is a benifit. I did not want to lose my allegiance to my mother country, however i also wanted to take advantage of all the wonderful oppertunities this country has to offer because they were not available to me back home. Its a privelage that should not be taken advantage of.",1,"As a dual citizen of The United States and Bulgaria , i strongly feel that it is a benifit . I did not want to lose my allegiance to my mother country , however i also wanted to take advantage of all the wonderful oppertunities this country has to offer because they were not available to me back home . Its a privelage that should not be taken advantage of .",12775
medical websites,"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!",1,"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general . There was a time when the Church was against translating the Bible . ( you ca n't have access to that , you 're too much of an idiot ! ) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions . Excellent !",12787
immigration,They are certainly no problem to Democrats where they are viewed as new voters who will be sustained by welfare paid for by someone else. Once the Dems have this huge voting bloc there will be no viable conservative resistance. Of course they don't want the conservatives to go away completely otherwise who would they blame all their problems and failures on? Question: If illegals are such an asset why not open the border completely?,0,They are certainly no problem to Democrats where they are viewed as new voters who will be sustained by welfare paid for by someone else . Once the Dems have this huge voting bloc there will be no viable conservative resistance . Of course they do n't want the conservatives to go away completely otherwise who would they blame all their problems and failures on ? Question : If illegals are such an asset why not open the border completely ?,12821
tipping,"i travel in many places in the world where tipping is really just that..Not in the US where it should be called 'wages'. And the restaurants are packed. (see Paris etc). When you get the bill you don't have to factor in TAXES, TIPPING etc. Just because something has been done for years doesn't make it a good thing.",0,"i travel in many places in the world where tipping is really just that .. Not in the US where it should be called ' wages ' . And the restaurants are packed . ( see Paris etc ) . When you get the bill you do n't have to factor in TAXES , TIPPING etc . Just because something has been done for years does n't make it a good thing .",12824
